Income_2019,Income_2020,Percent_Change_2020,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
"34,040","34,782",2.2,115563.79,1.04294,7.25,8634.94,0.77622,294,11923.71,0.9666,158.17,8449.15,0.94827,1212.67
"31,484","33,925",7.8,*,*,*,9610.57,0.90371,435.5,14979.12,0.93576,210.92,9076.34,0.9151,2036.08
"35,023","37,832",8.0,80748.31,0.97525,51.42,11058.77,0.96477,827.92,16576.32,0.9684,368.92,11020.28,1.00124,3381.25
"33,835","40,187",18.8,58311.28,0.84231,16.33,8065.63,0.911,222.08,14135.76,0.8929,167.58,8331.32,0.9444,808.17
"31,575","34,374",8.9,*,*,*,10399.49,0.87405,227.08,12392.47,0.91508,153.17,9943.69,0.93807,1228.17
"32,564","35,371",8.6,*,*,*,8114.22,0.80552,259.5,10799.52,0.88736,161.25,8692.58,0.88891,898.5
"39,340","42,742",8.6,61708.45,0.86687,43.08,9210.55,0.83292,582.17,17242.07,0.96287,308.75,9783.82,0.97364,2377.17
"37,206","39,715",6.7,*,*,*,9862.31,0.88062,253.17,17315.44,0.83928,98.75,9657.76,0.98232,1152.33
"35,443","41,005",15.7,61460.78,0.90893,42.58,8591.95,0.83301,484.42,14757.75,0.83552,346,9073.57,0.92831,1384.42
"33,089","34,971",5.7,60616.85,0.99752,11.33,9038.58,0.88181,297.5,19315.87,0.99587,145.83,10704.16,1.01334,1238.67
"34,645","38,591",11.4,83603.62,0.89248,20,12307.55,1.02547,616.08,22672.43,1.00428,360.92,11056.86,0.99441,2146
"31,293","33,816",8.1,73079.84,0.99548,9.83,9237.37,0.89505,447.17,14215.68,0.91057,257.92,10526.17,0.97616,2358.5
"36,057","37,465",3.9,74706.19,0.91673,53.17,9562.35,0.90136,1292,15114.01,0.98174,499.92,10170.08,0.97561,5266.33
"35,328","42,026",19.0,62116.63,0.9093,9.83,10092.81,0.94121,214.25,18870.05,1.05157,127.75,9289.41,0.94429,1096.42
"52,047","55,423",6.5,70175.64,0.93334,526.58,9618.62,0.92739,6201.25,17040.99,0.98027,2277,9382.59,0.95869,33774
"33,346","36,205",8.6,53648.04,0.9278,17.83,10563.7,0.83265,475.25,19386.48,0.87348,303.75,10784.14,0.96995,1887.92
"30,215","33,394",10.5,76308.9,0.87123,66.25,8539,0.92401,540,15106.18,0.87671,304.75,9478.58,0.95987,1732.58
"43,696","46,269",5.9,81563.59,0.93353,92.92,10111.43,0.90545,1852.17,19552.77,1.05752,608.17,10002.8,0.98524,13044.58
"32,039","33,703",5.2,66066.48,1.16366,7.83,7916.56,0.94636,259.42,14209.13,1.0172,150.92,10196.78,1.12655,904.5
"28,574","31,731",11.0,*,*,*,7401.42,0.75525,265.92,13730.09,0.96597,172.17,9138.29,0.91877,978.08
"43,368","45,505",4.9,71516.79,0.98267,115.42,9978.02,0.98384,2194.25,18764.44,1.04901,992.83,9362.71,1.03667,9469.58
"33,325","35,030",5.1,81382.17,0.92016,16.5,10434.5,1.0181,262,21421.2,0.97461,160.75,9783.2,1.07033,1245
